family,glottocode
Matacoan,mata1291
Afro-Asiatic,mata1306
Indo-European,mata1310
Afro-Asiatic,mata1311
Austronesian,mata1312
Austronesian,matb1237
Sino-Tibetan,matc1241
Austronesian,mate1237
Atlantic-Congo,mate1256
Atlantic-Congo,mate1257
Atlantic-Congo,mate1258
Austronesian,mate1259
Nuclear Trans New Guinea,mate1260
Atlantic-Congo,mate1261
Sign Language,mate1262
Atlantic-Congo,math1238
Austronesian,mati1250
Austronesian,mati1251
Nuclear Trans New Guinea,mati1252
Cariban,mati1253
Pano-Tacanan,mati1254
Pano-Tacanan,mati1255
Austronesian,matl1238
Atlantic-Congo,matl1257
Otomanguean,matl1258
Uralic,mato1250
Atlantic-Congo,mato1251
Austronesian,mato1252
NA,mato1253
Austronesian,mats1242
Pano-Tacanan,mats1243
Pano-Tacanan,mats1244
Arawakan,mats1245
Athabaskan-Eyak-Tlingit,matt1238
Sino-Tibetan,matu1256
Atlantic-Congo,matu1257
Atlantic-Congo,matu1259
Austronesian,matu1260
Austronesian,matu1261
Austronesian,matu1262
Atlantic-Congo,matu1263
Austronesian,matu1264
Sino-Tibetan,matw1238
Mande,maty1235
Sino-Tibetan,maub1238
Austronesian,mauk1238
Austronesian,maum1238
Iwaidjan Proper,maun1240
Indo-European,maur1239
Sign Language,maur1240
Sepik,maur1241
Austronesian,maut1237
Nuclear Trans New Guinea,mauw1238
Atlantic-Congo,mavi1238
Afro-Asiatic,mavo1238
Unattested,mawa1236
Austroasiatic,mawa1263
Austronesian,mawa1264
Nuclear Trans New Guinea,mawa1265
Nuclear Trans New Guinea,mawa1266
Nuclear Trans New Guinea,mawa1267
Arawakan,mawa1268
Afro-Asiatic,mawa1270
Bookkeeping,mawa1271
Indo-European,mawc1242
NA,mawe1251
Tupian,mawe1252
Sino-Tibetan,mawr1238
Nuclear-Macro-Je,maxa1246
Nuclear-Macro-Je,maxa1247
Sign Language,maxa1248
Atlantic-Congo,maxi1236
Indo-European,maya1277
Sino-Tibetan,maya1278
Pama-Nyungan,maya1279
Pama-Nyungan,maya1280
Mande,maya1281
Austronesian,maya1282
Guahiboan,maya1284
Misumalpan,maya1285
Bookkeeping,maya1286
NA,maya1287
Austronesian,maya1288
Atlantic-Congo,maye1238
Pama-Nyungan,mayi1234
Pama-Nyungan,mayi1235
Pama-Nyungan,mayi1236
Pama-Nyungan,mayk1239
Atlantic-Congo,mayo1260
Atlantic-Congo,mayo1261
Austronesian,mayo1262
Sepik,mayo1263
Uto-Aztecan,mayo1264
Cariban,mayo1265
Unattested,mayo1267
Pano-Tacanan,mayo1269
Pano-Tacanan,mayo1270
Pano-Tacanan,mayo1271
Pano-Tacanan,mayo1272
Pano-Tacanan,mayo1277
Sepik,mayo1278
Austronesian,mayr1237
Berta,mayu1240
Austroasiatic,mayy1239
Indo-European,maza1291
Mixe-Zoque,maza1292
Otomanguean,maza1293
Otomanguean,maza1294
Otomanguean,maza1295
Otomanguean,maza1296
Afro-Asiatic,maza1303
Afro-Asiatic,maza1304
Indo-European,maza1305
Sino-Tibetan,maza1306
Otomanguean,maza1307
Otomanguean,maza1308
Otomanguean,maza1309
Indo-European,mazn1238
Atlantic-Congo,mbaa1245
Austronesian,mbaa1246
Afro-Asiatic,mbaa1250
Pama-Nyungan,mbab1239
Atlantic-Congo,mbag1238
Atlantic-Congo,mbag1239
Atlantic-Congo,mbah1238
Atlantic-Congo,mbai1246
Atlantic-Congo,mbai1247
Atlantic-Congo,mbai1248
Nilotic,mbai1249
Atlantic-Congo,mbak1242
Atlantic-Congo,mbal1254
Atlantic-Congo,mbal1255
Atlantic-Congo,mbal1256
Atlantic-Congo,mbal1257
Atlantic-Congo,mbal1258
Atlantic-Congo,mbal1259
Atlantic-Congo,mbal1260
Atlantic-Congo,mbal1261
Atlantic-Congo,mbam1247
Atlantic-Congo,mbam1248
Atlantic-Congo,mbam1249
Atlantic-Congo,mbam1252
Atlantic-Congo,mbam1253
Atlantic-Congo,mban1262
Atlantic-Congo,mban1263
Atlantic-Congo,mban1264
Atlantic-Congo,mban1265
Atlantic-Congo,mban1266
Atlantic-Congo,mban1268
Austronesian,mban1269
Austronesian,mban1270
Pama-Nyungan,mbar1253
Pama-Nyungan,mbar1254
Atlantic-Congo,mbar1255
Afro-Asiatic,mbar1260
Pama-Nyungan,mbar1261
Atlantic-Congo,mbar1262
Atlantic-Congo,mbat1247
Atlantic-Congo,mbat1248
Atlantic-Congo,mbat1249
Atlantic-Congo,mbat1250
Atlantic-Congo,mbat1251
Central Sudanic,mbay1241
Atlantic-Congo,mbec1238
Atlantic-Congo,mbed1238
Afro-Asiatic,mbed1242
Atlantic-Congo,mbee1248
Atlantic-Congo,mbee1249
Atlantic-Congo,mbee1250
Atlantic-Congo,mbej1238
Atlantic-Congo,mbel1240
Atlantic-Congo,mbem1251
Atlantic-Congo,mber1254
Atlantic-Congo,mber1255
Atlantic-Congo,mber1257
Atlantic-Congo,mber1258
Afro-Asiatic,mber1261
Atlantic-Congo,mber1262
Atlantic-Congo,mbes1238
Atlantic-Congo,mbey1234
Atlantic-Congo,mbib1238
Atlantic-Congo,mbid1238
Atlantic-Congo,mbii1238
Atlantic-Congo,mbil1239
Atlantic-Congo,mbin1238
Atlantic-Congo,mbir1238
Pama-Nyungan,mbiy1238
Atlantic-Congo,mbiz1238
Morehead-Wasur,mbla1238
Atlantic-Congo,mbob1238
Atlantic-Congo,mboc1235
Atlantic-Congo,mbod1237
Atlantic-Congo,mbod1238
Atlantic-Congo,mboi1246
Austronesian,mboj1237
Atlantic-Congo,mbok1242
Atlantic-Congo,mbok1243
West Bird's Head,mbol1235
Atlantic-Congo,mbol1247
Atlantic-Congo,mbol1248
Atlantic-Congo,mbon1250
Atlantic-Congo,mbon1251
Atlantic-Congo,mbon1252
Atlantic-Congo,mbon1253
Atlantic-Congo,mbon1254
Atlantic-Congo,mbos1242
Central Sudanic,mbot1238
Atlantic-Congo,mbou1244
Sign Language,mbou1245
Atlantic-Congo,mbow1244
Atlantic-Congo,mbow1246
Nuclear Trans New Guinea,mbow1247
Atlantic-Congo,mboz1234
Atlantic-Congo,mboz1235
Atlantic-Congo,mbre1244
Atlantic-Congo,mbre1245
Atlantic-Congo,mbre1246
Mixed Language,mbug1240
Atlantic-Congo,mbug1242
Atlantic-Congo,mbug1243
Atlantic-Congo,mbuk1240
Austronesian,mbuk1241
Afro-Asiatic,mbuk1243
Atlantic-Congo,mbuk1244
Atlantic-Congo,mbul1258
Atlantic-Congo,mbul1259
Atlantic-Congo,mbul1260
Atlantic-Congo,mbul1261
Atlantic-Congo,mbul1262
Austronesian,mbul1263
Atlantic-Congo,mbum1254
Atlantic-Congo,mbum1255
Atlantic-Congo,mbum1257
Atlantic-Congo,mbun1247
Atlantic-Congo,mbun1248
Atlantic-Congo,mbun1249
Afro-Asiatic,mbur1239
Atlantic-Congo,mbut1238
Atlantic-Congo,mbuu1238
Atlantic-Congo,mbwa1238
Atlantic-Congo,mbwe1238
Atlantic-Congo,mbwe1239
Atlantic-Congo,mbwi1238
Atlantic-Congo,mbya1238
Tupian,mbya1239
Atlantic-Congo,mdun1238
Sino-Tibetan,mdzo1234
Austronesian,meaa1237
Arafundi,meak1234
Tupian,mear1240
East Bird's Head,meax1236
Sino-Tibetan,mech1238
Afro-Asiatic,mech1243
Indo-European,meck1238
Indo-European,meck1239
Austronesian,mede1237
Speech Register,mede1238
Mixed Language,medi1245
Bookkeeping,medi1249
Indo-European,medi1250
Mixed Language,medn1235
Atlantic-Congo,medo1241
Central Sudanic,medo1242
Atlantic-Congo,medu1238
Nuclear Trans New Guinea,meee1238
Atlantic-Congo,meek1238
Surmic,meen1242
Afro-Asiatic,mefe1242
Indo-European,mega1242
Austroasiatic,mega1243
Nakh-Daghestanian,mege1234
Indo-European,megh1234
Austronesian,megi1245
Nuclear Trans New Guinea,megi1246
Indo-European,megl1237
Indo-European,meha1241
Austronesian,meha1242
Unclassifiable,mehe1242
Sepik,mehe1243
Sepik,mehe1244
Sign Language,mehe1245
Arawakan,mehi1240
Afro-Asiatic,mehr1241
Indo-European,meht1234
Timor-Alor-Pantar,meib1238
Tai-Kadai,meif1236
Ijoid,mein1238
Indo-European,meis1234
Sino-Tibetan,meit1246
Sepik,meiy1238
Central Sudanic,meje1239
Austronesian,meke1243
Pidgin,meke1244
Nuclear Trans New Guinea,mekk1240
Yuat,mekm1240
Austronesian,meko1237
Nimboranic,mekw1241
Atlantic-Congo,mela1253
Austronesian,mela1255
Atlantic-Congo,mela1257
Dravidian,mele1247
Atlantic-Congo,mele1248
Central Sudanic,mele1249
Austronesian,mele1250
Austronesian,mele1251
Austronesian,mele1252
Turkic,mele1253
Austronesian,mele1255
Austronesian,meli1237
Nakh-Daghestanian,melk1240
Austronesian,melk1241
Atlantic-Congo,melo1241
Ta-Ne-Omotic,melo1242
Austronesian,melo1243
Nuclear Trans New Guinea,melp1238
Nuclear Trans New Guinea,melp1239
Austronesian,mels1237
Central Sudanic,memb1238
Central Sudanic,memb1239
Indo-European,memo1238
Turama-Kikori,mena1240
Atlantic-Congo,mend1261
Atlantic-Congo,mend1262
Mande,mend1263
Mande,mend1264
Mande,mend1265
Mande,mend1266
Austronesian,mend1267
Sepik,mend1268
Atlantic-Congo,mene1239
Turkic,meng1262
Bookkeeping,meng1263
Atlantic-Congo,meng1264
Atlantic-Congo,meng1265
Austronesian,meng1266
Austronesian,meng1267
Austronesian,meng1268
Austronesian,meng1269
Austronesian,meng1270
Senagi,meng1271
Turama-Kikori,meni1246
Kamakanan,meni1247
Atlantic-Congo,menk1238
Atlantic-Congo,menk1239
Austronesian,meno1251
Algic,meno1252
Austroasiatic,menr1235
Austronesian,ment1247
Austronesian,ment1248
Austronesian,ment1249
Austronesian,ment1250
Austronesian,ment1251
Austronesian,menu1237
Atlantic-Congo,meny1244
Angan,meny1245
Atlantic-Congo,menz1238
Austronesian,meos1237
Otomanguean,meph1234
Austronesian,mera1242
Indo-European,merc1242
Indo-European,merc1243
Austronesian,merd1234
Central Sudanic,mere1241
Austronesian,mere1242
Afro-Asiatic,mere1246
Sino-Tibetan,merg1238
Indo-European,meri1242
Austronesian,meri1243
Eastern Trans-Fly,meri1244
Afro-Asiatic,meri1245
Austronesian,merl1237
NA,mero1237
Ta-Ne-Omotic,merr1238
Mairasic,merr1239
Atlantic-Congo,meru1245
Indo-European,merw1238
Atlantic-Congo,mesa1245
Austronesian,mesa1246
Koiarian,mesa1247
Athabaskan-Eyak-Tlingit,mesc1238
Atlantic-Congo,mese1243
Nuclear Trans New Guinea,mese1244
Nuclear Trans New Guinea,mese1245
Atlantic-Congo,mesi1242
Austronesian,mesi1243
Austronesian,mesi1244
Kartvelian,mesk1241
Algic,mesk1242
Algic,mesk1243
Afro-Asiatic,mesm1239
Afro-Asiatic,mesm1243
Afro-Asiatic,meso1252
Austronesian,meso1253
Austronesian,meso1254
Afro-Asiatic,mesq1240
Indo-European,mess1244
Indo-European,mess1247
Austronesian,mess1248
Atlantic-Congo,meta1238
Afro-Asiatic,meta1239
Gumuz,mete1238
Dravidian,metl1237
Otomanguean,metl1238
Austronesian,metn1237
Nuclear Trans New Guinea,meto1239
Austronesian,mets1238
Austronesian,meud1237
Indo-European,mewa1248
Indo-European,mewa1249
Indo-European,mewa1250
Indo-European,mewa1251
Sino-Tibetan,mewa1252
Indo-European,mewa1253
Indo-European,mewa1254
Sign Language,mexi1237
East Bird's Head,meya1236
Sino-Tibetan,meyi1234
Afro-Asiatic,mezi1238
Otomanguean,mezo1235
Otomanguean,mezq1235
Atlantic-Congo,mfee1238
Atlantic-Congo,mfen1238
Atlantic-Congo,mfin1238
Atlantic-Congo,mfum1238
Atlantic-Congo,mfum1239
Atlantic-Congo,mgao1238
Atlantic-Congo,mgbo1238
Indo-European,mhal1238
Atlantic-Congo,mhar1238
Austronesian,miad1237
Austronesian,miag1237
Otomanguean,miah1235
Otomanguean,miah1236
Mande,miam1251
Algic,miam1252
Sino-Tibetan,mian1253
Nuclear Trans New Guinea,mian1254
Nuclear Trans New Guinea,mian1255
Nuclear Trans New Guinea,mian1256
Nuclear Trans New Guinea,mian1257
Mixed Language,miao1234
Unattested,miar1236
Atlantic-Congo,mica1242
Huitotoan,mica1243
Mixed Language,mich1243
Uto-Aztecan,mich1245
Otomanguean,mich1246
Austronesian,micr1243
Austronesian,micr1244
Indo-European,mida1234
Indo-European,midd1316
Indo-European,midd1317
Indo-European,midd1318
Indo-European,midd1319
Indo-European,midd1321
Uralic,midd1322
Great Andamanese,midd1323
Turkic,midd1324
Turkic,midd1325
Sino-Tibetan,midd1326
Austronesian,midd1327
Afro-Asiatic,midd1332
Afro-Asiatic,midd1342
Indo-European,midd1343
Sino-Tibetan,midd1344
Indo-European,midd1345
Austronesian,midd1346
Indo-European,midd1347
Atlantic-Congo,midd1348
Indo-European,midd1349
Indo-European,midd1350
Mongolic,midd1351
Indo-European,midd1352
Uralic,midd1353
Sino-Tibetan,midd1354
Great Andamanese,midd1356
Pama-Nyungan,midd1357
Tungusic,midd1358
Indo-European,midd1359
Indo-European,midd1360
Indo-European,midd1361
Indo-European,mide1238
Nuclear Trans New Guinea,midg1235
Austronesian,midi1237
Afro-Asiatic,midi1241
Mixe-Zoque,midl1241
Sign Language,midl1242
Indo-European,midl1243
Austronesian,midm1238
Indo-European,midn1239
Sino-Tibetan,midn1240
Indo-European,midn1241
Indo-European,midn1242
Nubian,mido1240
Atlantic-Congo,mids1242
Atlantic-Congo,mids1243
Indo-European,mids1244
Indo-European,mids1245
Indo-European,midw1242
Nuclear Trans New Guinea,midw1243
Afro-Asiatic,midy1238
Japonic,miee1237
Hmong-Mien,mien1242
Hmong-Mien,mien1243
Atlantic-Congo,mien1244
Nuclear Trans New Guinea,miga1241
Afro-Asiatic,miga1249
Timote-Cuica,migu1234
Tamaic,miis1236
Indo-European,mija1240
Pama-Nyungan,mija1241
Atlantic-Congo,miji1238
Sino-Tibetan,miji1239
Atlantic-Congo,miji1240
Sino-Tibetan,miju1243
Atlantic-Congo,miju1244
Muskogean,mika1239
Lower Sepik-Ramu,mika1254
Japonic,mika1255
Atlantic-Congo,mika1256
Atlantic-Congo,mike1238
Afro-Asiatic,mike1242
Nakh-Daghestanian,miki1243
Algic,mikm1235
Sino-Tibetan,miko1239
Indo-European,mila1243
Sino-Tibetan,mila1245
Pama-Nyungan,mild1238
Sino-Tibetan,mili1235
Sino-Tibetan,mili1236
Huarpean,mill1237
Austroasiatic,milo1241
Afro-Asiatic,milt1241
Coosan,milu1241
Indo-European,mily1238
Sino-Tibetan,mima1238
NA,mimi1240
Maban,mimi1241
Afro-Asiatic,mimi1245
Bookkeeping,mimi1246
Bookkeeping,mina1267
Austronesian,mina1268
Austronesian,mina1269
Austronesian,mina1270
Austronesian,mina1271
Austronesian,mina1272
Nuclear Trans New Guinea,mina1273
Anim,mina1274
Afro-Asiatic,mina1276
Afro-Asiatic,mina1279
Austronesian,mina1280
Sino-Tibetan,minb1236
Sino-Tibetan,minb1243
Sino-Tibetan,minb1244
Sino-Tibetan,mind1253
Atlantic-Congo,mind1254
Austronesian,mind1255
Austronesian,mind1256
Austronesian,mind1257
Nuclear Trans New Guinea,mind1258
Afro-Asiatic,mind1262
Indo-European,mind1263
Afro-Asiatic,mine1239
Kartvelian,ming1252
Pama-Nyungan,ming1253
Atlantic-Congo,ming1254
Sino-Tibetan,ming1255
Austronesian,ming1256
Mongolic,ming1257
Mongolic,minh1238
Sino-Tibetan,mini1250
Austronesian,mini1251
Austronesian,mini1252
Nuclear Torricelli,mini1253
Algic,mini1254
Huitotoan,mini1255
Huitotoan,mini1256
Austronesian,mini1257
Pidgin,mini1258
Koiarian,minj1241
Pama-Nyungan,minj1242
NA,mink1237
Sino-Tibetan,minn1241
Sino-Tibetan,minn1248
Atlantic-Congo,minn1249
Algic,minn1250
Unclassifiable,mino1236
Austronesian,mino1243
Japonic,mino1244
Austroasiatic,minr1238
Austroasiatic,mint1239
Atlantic-Congo,minu1238
Sino-Tibetan,miny1239
Sino-Tibetan,miny1240
Sino-Tibetan,minz1235
Tai-Kadai,minz1236
Austronesian,mios1237
Sino-Tibetan,miqi1235
Indo-European,mira1251
Indo-European,mira1252
Mayan,mira1253
Boran,mira1254
Austroasiatic,mird1238
Afro-Asiatic,mire1238
Bookkeeping,mirg1238
Jarrakan,miri1266
Kadugli-Krongo,miri1267
Hatam-Mansim,miri1268
Austronesian,miri1269
Tucanoan,miri1270
Sino-Tibetan,miri1271
Nuclear Torricelli,miri1272
Nuclear Trans New Guinea,mirk1238
Sino-Tibetan,mirl1238
NA,mirn1241
Pama-Nyungan,mirn1243
Indo-European,mirp1238
Indo-European,mirp1239
Afro-Asiatic,mirr1240
Timote-Cuica,mirr1241
Indo-European,mirz1238
Sino-Tibetan,mish1241
Atlantic-Congo,mish1242
Afro-Asiatic,mish1244
Sino-Tibetan,misi1242
Austronesian,misi1243
Austronesian,misi1244
Misumalpan,misk1235
Sign Language,misk1242
Indo-European,misk1243
Nakh-Daghestanian,misl1238
Nuclear Trans New Guinea,mism1239
Siouan,miss1249
Siouan,miss1252
Siouan,miss1254
NA,misu1242
Pama-Nyungan,mith1235
Pama-Nyungan,mith1236
Sino-Tibetan,miti1241
Austronesian,miti1242
Otomanguean,mitl1235
Otomanguean,mitl1236
Central Sudanic,mitt1253
Indo-European,mitt1254
Indo-European,mitt1255
Atlantic-Congo,mitu1240
Atlantic-Congo,mitu1241
Atlantic-Congo,mitu1242
Atlantic-Congo,miut1238
Austronesian,miuu1237
Worrorran,miwa1242
NA,miwo1274
Miwok-Costanoan,miwo1275
Mixe-Zoque,mixe1283
NA,mixe1284
Mixe-Zoque,mixe1286
NA,mixe1287
Great Andamanese,mixe1288
Mande,mixi1241
Mixe-Zoque,mixi1242
Otomanguean,mixt1422
Otomanguean,mixt1423
Otomanguean,mixt1425
Otomanguean,mixt1426
Otomanguean,mixt1427
Otomanguean,mixt1428
Angan,miya1257
Japonic,miya1258
Japonic,miya1259
Japonic,miya1260
Afro-Asiatic,miya1266
Yuat,miya1267
Nuclear Trans New Guinea,miye1238
Atlantic-Congo,miyo1238
Central Sudanic,miza1238
Indo-European,mizm1238
Sino-Tibetan,mizo1244
Sino-Tibetan,mizo1245
Atlantic-Congo,mizu1238
Sino-Tibetan,mkha1234
Atlantic-Congo,mkuu1238
Atlantic-Congo,mkwe1238
Austroasiatic,mlab1235
Afro-Asiatic,mlah1239
Atlantic-Congo,mlal1234
Nimboranic,mlap1238
Nimboranic,mlap1239
Atlantic-Congo,mlom1238
Atlantic-Congo,mmaa1238
Atlantic-Congo,mman1238
Atlantic-Congo,mmen1238
Sino-Tibetan,mnga1238
Austroasiatic,mnon1258
Austroasiatic,mnon1259
Austroasiatic,mnon1260
Austroasiatic,mnon1261
Austroasiatic,mnon1262
Austronesian,moaa1237
Bookkeeping,moab1234
Atlantic-Congo,moba1243
Atlantic-Congo,moba1244
Pidgin,mobi1236
Afro-Asiatic,mobo1238
Atlantic-Congo,mobu1235
Sino-Tibetan,mobw1234
Indo-European,moch1255
Atlantic-Congo,moch1256
Mayan,moch1257
Guahiboan,moch1258
NA,moch1259
Indo-European,mock1234
Guaicuruan,moco1246
Central Sudanic,moda1242
Austronesian,moda1243
Austronesian,moda1244
Afro-Asiatic,modd1238
Indo-European,mode1248
Atlantic-Congo,mode1249
Gumuz,mode1250
Austronesian,mode1251
Afro-Asiatic,mode1252
Indo-European,mode1257
Indo-European,mode1258
Indo-European,mode1259
Turkic,mode1262
Indo-European,mode1263
Indo-European,mode1264
Central Sudanic,modo1248
North Halmahera,modo1249
Afro-Asiatic,moee1234
Nuclear Trans New Guinea,moer1240
Indo-European,moes1234
Austronesian,mofu1239
Afro-Asiatic,mofu1248
Afro-Asiatic,mofu1249
Afro-Asiatic,mofu1250
Sign Language,mofu1251
Atlantic-Congo,moga1246
Atlantic-Congo,moga1247
Nara,moga1248
Japonic,moga1249
Mongolic,mogh1245
Atlantic-Congo,mogh1246
Turkic,mogh1248
Afro-Asiatic,mogu1251
Afro-Asiatic,mogu1252
Afro-Asiatic,mogu1253
Afro-Asiatic,mogu1254
Cochimi-Yuman,moha1256
Iroquoian,moha1257
Iroquoian,moha1258
Algic,mohe1244
Indo-European,mohm1238
Indo-European,mohr1238
Sino-Tibetan,mohu1238
West Bird's Head,moia1234
Atlantic-Congo,moic1236
West Bird's Head,moii1235
Austroasiatic,moii1253
Hatam-Mansim,moii1254
Yareban,moik1239
Atlantic-Congo,moin1241
Bookkeeping,moin1242
West Bird's Head,mois1234
Nilotic,moit1238
Sino-Tibetan,moji1238
Austronesian,moke1240
Austronesian,moke1241
Austronesian,moke1242
Austronesian,moki1238
Afro-Asiatic,moki1243
Atlantic-Congo,moki1244
Indo-European,mokk1242
Austroasiatic,mokk1243
Austronesian,mokl1243
Atlantic-Congo,moko1243
Austronesian,moko1244
Afro-Asiatic,moko1254
Afro-Asiatic,moko1255
Afro-Asiatic,moko1256
Atlantic-Congo,mokp1238
Atlantic-Congo,mokp1239
Uralic,moks1248
Unattested,moks1249
NA,mola1238
Austronesian,molb1237
Austronesian,molb1238
Sign Language,mold1243
Indo-European,mold1248
Atlantic-Congo,mole1238
Nuclear Trans New Guinea,mole1239
Nuclear Trans New Guinea,mole1240
Indo-European,moli1245
Atlantic-Congo,moli1246
Austronesian,moli1247
Austronesian,moli1248
Austroasiatic,moll1241
Austronesian,moll1242
Nuclear Torricelli,molm1235
Eastern Jebel,molo1257
Central Sudanic,molo1258
Central Sudanic,molo1259
Austronesian,molo1260
Austronesian,molo1261
NA,molo1262
Afro-Asiatic,molo1266
Indo-European,molo1267
Sino-Tibetan,mols1234
Atlantic-Congo,molu1244
Araucanian,molu1245
Austronesian,moma1242
Nuclear Trans New Guinea,moma1243
Nuclear Trans New Guinea,moma1244
Tungusic,moma1245
Atlantic-Congo,momb1253
Dogon,momb1254
NA,momb1255
Atlantic-Congo,momb1256
Atlantic-Congo,momi1241
Somahai,momi1242
Atlantic-Congo,momj1237
Atlantic-Congo,momo1242
Somahai,momu1241
Atlantic-Congo,momv1238
Sign Language,mona1241
Atlantic-Congo,mond1263
Central Sudanic,mond1264
Austronesian,mond1265
Tupian,mond1266
Sino-Tibetan,mond1267
Sino-Tibetan,mond1268
Sino-Tibetan,mond1269
Indo-European,mone1238
Sign Language,mong1264
NA,mong1329
Mongolic,mong1330
Mongolic,mong1331
Sino-Tibetan,mong1332
Hmong-Mien,mong1333
Atlantic-Congo,mong1334
Atlantic-Congo,mong1336
Atlantic-Congo,mong1337
Atlantic-Congo,mong1338
Mande,mong1339
Dajuic,mong1340
Austronesian,mong1342
NA,mong1343
Ulmapo,mong1344
Atlantic-Congo,mong1345
Austronesian,mong1346
Ulmapo,mong1348
Otomanguean,moni1237
Austroasiatic,moni1258
Atlantic-Congo,moni1259
Austronesian,moni1260
Nuclear Trans New Guinea,moni1261
Austroasiatic,monn1251
Austroasiatic,monn1252
Sino-Tibetan,monn1253
Austroasiatic,mono1268
Atlantic-Congo,mono1269
Atlantic-Congo,mono1270
Austronesian,mono1271
Austronesian,mono1273
Austronesian,mono1274
Uto-Aztecan,mono1275
Afro-Asiatic,mono1279
Austronesian,mono1280
Unclassifiable,monq1236
Sino-Tibetan,mons1234
Algic,mont1268
Algic,mont1269
Miwok-Costanoan,mont1270
Otomanguean,mont1271
Afro-Asiatic,mont1280
Indo-European,mont1282
NA,monu1249
Atlantic-Congo,monz1249
Atlantic-Congo,monz1250
Quechuan,monz1251
Atlantic-Congo,monz1253
Atlantic-Congo,moom1238
Afro-Asiatic,moon1238
Atlantic-Congo,mooo1239
Indo-European,moor1245
Austronesian,moor1246
Algic,moos1236
Mayan,mopa1242
Mayan,mopa1243
Dravidian,mopl1237
Turkic,moqa1238
West Bird's Head,mora1239
Indo-European,mora1270
Indo-European,mora1271
Indo-European,mora1272
Mailuan,mora1273
Indo-European,mora1274
Central Sudanic,morb1238
NA,morb1239
Uralic,mord1256
Rashad,more1254
NA,more1255
Morehead-Wasur,more1256
Austronesian,more1257
Nuclear Trans New Guinea,more1258
Uto-Aztecan,more1259
Unattested,more1262
Chapacuran,more1263
Chapacuran,more1264
Tungusic,mori1265
Atlantic-Congo,mori1266
Austronesian,mori1267
Austronesian,mori1268
Austronesian,mori1269
Yareban,mori1270
Kiwaian,mori1271
Japonic,mori1272
Arawakan,mori1273
Afro-Asiatic,mori1277
Indo-European,mori1278
Austronesian,morm1235
Sign Language,moro1242
Atlantic-Congo,moro1280
Central Sudanic,moro1281
Central Sudanic,moro1282
Central Sudanic,moro1284
Heibanic,moro1285
Austronesian,moro1286
Austronesian,moro1287
NA,moro1289
North Halmahera,moro1290
Japonic,moro1291
Afro-Asiatic,moro1292
Central Sudanic,moro1293
Afro-Asiatic,moro1295
Central Sudanic,moro1296
Sino-Tibetan,mors1234
Austronesian,mort1237
Austronesian,mort1238
Atlantic-Congo,moru1251
Central Sudanic,moru1252
Central Sudanic,moru1253
Central Sudanic,moru1254
Sino-Tibetan,mosa1240
NA,mose1249
Atlantic-Congo,mosi1246
Nilotic,mosi1247
Nuclear Trans New Guinea,mosi1248
East Bird's Head,mosk1236
Atlantic-Congo,moss1236
Atlantic-Congo,moss1237
Atlantic-Congo,moss1238
Austronesian,mota1237
Atlantic-Congo,moti1240
Indo-European,motk1236
Austronesian,motl1237
Central Sudanic,motm1238
Mayan,moto1243
Austronesian,motu1246
Pidgin,motu1248
Central Sudanic,moug1238
Austronesian,mouk1239
Austronesian,mouk1240
Austronesian,moun1250
Koiarian,moun1252
Nuclear Trans New Guinea,moun1253
Atlantic-Congo,moun1254
Sign Language,moun1255
Turama-Kikori,mouw1234
Saharan,mova1237
Nuclear Trans New Guinea,move1241
NA,movi1243
Saharan,mowo1238
Kartvelian,moxe1238
Arawakan,moxo1234
Arawakan,moxo1235
Austronesian,moya1235
Sino-Tibetan,moyo1238
Central Sudanic,moyo1239
Sino-Tibetan,moyo1240
Sign Language,moza1235
Indo-European,moza1249
Afro-Asiatic,moza1250
Sino-Tibetan,mozo1238
Afro-Asiatic,mpad1242
Atlantic-Congo,mpak1240
Pama-Nyungan,mpal1237
Pama-Nyungan,mpal1238
Atlantic-Congo,mpam1238
Atlantic-Congo,mpam1239
Pama-Nyungan,mpar1238
Atlantic-Congo,mpie1238
Atlantic-Congo,mpie1239
Sino-Tibetan,mpii1239
Atlantic-Congo,mpin1234
Atlantic-Congo,mpom1238
Atlantic-Congo,mpon1251
Atlantic-Congo,mpon1252
Atlantic-Congo,mpon1253
Atlantic-Congo,mpon1254
Atlantic-Congo,mpon1255
Atlantic-Congo,mpoo1238
Atlantic-Congo,mpot1240
Austronesian,mpot1241
Atlantic-Congo,mpra1235
Atlantic-Congo,mpuo1241
NA,mpur1239
Afro-Asiatic,mpus1238
Atlantic-Congo,mpuu1241
Atlantic-Congo,mpuu1242
Atlantic-Congo,mpye1238
Turkic,mras1239
Austronesian,mria1237
Atlantic-Congo,mrim1238
Sino-Tibetan,mroc1235
Austroasiatic,mroo1239
Sino-Tibetan,mrui1235
Sino-Tibetan,mruu1242
Afro-Asiatic,mser1242
Atlantic-Congo,mtez1238
Austronesian,mtir1235
Austronesian,mtir1236
Kartvelian,mtiu1238
Austroasiatic,mual1240
Austronesian,mual1241
Sino-Tibetan,muan1234
Koiarian,muat1238
Anim,muba1238
East Kutubu,mubi1239
Afro-Asiatic,mubi1246
Afro-Asiatic,mubi1247
Salishan,muck1238
Timote-Cuica,mucu1234
Sino-Tibetan,muda1235
Pama-Nyungan,mudb1240
Dravidian,mudh1235
Dravidian,mudu1239
Dravidian,mudu1240
Dravidian,mudu1241
Austronesian,mudu1242
Dravidian,mudu1245
